Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
223343,OIE,43.576944,-0.376667,Europe,France,Aquitaine,PIMBO,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",17500,0,0,17500,0,,,,
223342,OIE,43.2864,0.3864,Europe,France,Midi-Pyrenees,PUYDARRIEUX,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",2800,0,0,2800,0,,,,
223341,OIE,43.5467,-0.253889,Europe,France,Aquitaine,Baliracq Maumusson,Exact,23/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",7500,0,0,7500,0,,,,
223340,OIE,43.3242,0.3397,Europe,France,Midi-Pyrenees,LAPEYRE,Exact,23/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",500,0,0,500,0,,,,
223339,OIE,43.830833,-0.500556,Europe,France,Aquitaine,BENQUET,Exact,20/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",0,0,0,0,0,,,,
223338,OIE,43.830833,-0.500556,Europe,France,Aquitaine,BENQUET,Exact,19/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",0,0,0,0,0,,,,
223337,OIE,43.599444,-0.138611,Europe,France,Midi-Pyrenees,VIELLA,Exact,13/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",0,0,0,0,0,,,,
223336,OIE,56.02,12.75,Europe,Sweden,Skaane Laen,Ramlösa,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,white tailed eagle (haliaeetus albicilla))",,1,1,0,0,,,,
223335,OIE,56.99,18.39,Europe,Sweden,Gotlands Laen,Gotland,Exact,16/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, peregrine falcon",,1,1,0,0,,,,
223334,National authorities,28.74,42.56,Asia,Saudi Arabia,Northern Frontier,Al Asayah,Unknown,03/02/2017,11/02/2017,Confirmed,MERS-CoV ,,,,,,,,Male,80,1,0
223332,OIE,44.9796,16.699,Europe,Bosnia and Herzegovina,Republika Srpska,Tukovi,Unknown,11/02/2017,12/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",149,,99,49,,,0,,
223331,National authorities,31.28472,34.28528,Asia,Gaza Strip,Rafah,"Rafah, Tel alsultan",Exact,02/02/2017,09/02/2017,Confirmed,Foot and mouth disease,O,"domestic, cattle",385,77,19,,,,0,,
223330,National authorities,21.040989,41.438669,Asia,Saudi Arabia,Makkah,Makkah,Centroid Admin1,03/02/2017,09/02/2017,Confirmed,MERS-CoV ,,,,,,,,Male,60,1,0
223325,OIE,8.896389,7.243056,Africa,Nigeria,Abuja,Kuje,Exact,28/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",130000,265,265,129735,0,,0,,
223324,OIE,9.8631,8.8639,Africa,Nigeria,Plateau,Kufang,Exact,24/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",903,18,18,885,0,,0,,
